"Year","rtCode","ptCode","NW_M","TV_M","NW_X","TV_X","UV_M","UV_X","metaData"
2013,434,826,33000,159399.61050475,33000,144908.7368225,4830.29122741667,4391.17384310606,"mirrored import for non-reporter"
2013,440,32,123257.6,121649,179748,163270,986.949283451893,908.327213654672,NA
2013,440,40,97425,415114,68800,291297.868383,4260.85706954067,4233.98064510174,NA
2013,440,100,0,0,4111,9637.01971369,0,2344.20328720263,NA
2013,440,156,35,18,0,0,514.285714285714,0,NA
2013,440,203,16915,68798,23324,50763,4067.27756429205,2176.42771394272,NA
2013,440,208,14799,58019,14799,52217.1,3920.46759916211,3528.42083924589,"mirrored export for non-reporter"
2013,440,233,1026000,199550,107160,34924.3067446,194.493177387914,325.908050994774,NA
2013,440,251,539327,1982558,536241,2092190.9231382,3675.98507028204,3901.58701617034,NA
2013,440,276,559003,2441891,526253,2202560.25079792,4368.2967712159,4185.36379041624,NA
2013,440,348,58388,132943,673350,343898,2276.88908679866,510.726962203906,NA
2013,440,381,0,0,69.0525629651874,53.1093648,0,769.115041056114,NA
2013,440,428,32875.7971075272,48367,3046558,712418.86238182,1471.20387200972,233.843853418126,NA
2013,440,528,0,0,1105.11030811838,849.95696,0,769.115041056114,NA
2013,440,616,1375286,647120,1450703,564135,470.534856022675,388.870085744636,NA
2013,440,643,271800,78887,0,0,290.239146431199,0,NA
2013,440,703,0,0,10996,26697.15056476,0,2427.89655918152,NA
2013,440,752,52124,154660,0,0,2967.15524518456,0,NA
2013,440,804,145030621,34638251,197223461,38749706.38,238.834052844606,196.476150370366,NA
2013,440,842,62483.2,84363,41895,50765,1350.17092594489,1211.71977562955,NA
2013,442,40,4060.34853891632,23381.809984,12900,27562.112823,5758.57214224286,2136.59789325581,NA
2013,442,56,1273376,2061058.628928,690783,1912578.81535798,1618.57819601437,2768.71146996665,NA
2013,442,156,98.8358463882972,90.267008,0,0,913.302321966944,0,NA
2013,442,251,6839634,3378618.612648,4262545,3824588.10544458,493.976521645456,897.254599175981,NA
2013,442,276,152607,196645.788701,1115893,770485.27261264,1288.57646569948,690.465190311831,NA
2013,442,348,0,0,205744,53399,0,259.540982969127,NA
2013,442,381,3,10.619648,0,0,3539.88266666667,0,NA
2013,442,528,4593269.49345404,2863622.597056,2107416,4217498.38803975,623.438838312667,2001.26524048396,NA
2013,442,620,248,130.090688,313,527.02750837,524.559225806452,1683.79395645367,NA
2013,442,703,0,0,15930,48476.75453828,0,3043.11076825361,NA
2013,442,705,0,0,109.313,26.4217,0,241.706841821192,NA
2013,442,752,231.101464349107,211.065504,369.887928536578,307.10864,913.302321966944,830.274838151767,NA
2013,442,826,0,0,300.024045325989,273.70781375,0,912.286258431737,NA
2013,446,554,60,184.236795996,60,167.48799636,3070.6132666,2791.466606,"mirrored import for non-reporter"
2013,446,608,78,216.7,78,197,2778.20512820513,2525.64102564103,"mirrored import for non-reporter"
2013,446,620,390,937.498303302,390,852.27118482,2403.84180333846,2185.31073030769,"mirrored import for non-reporter"
2013,446,842,206000,35200,206000,32000,170.873786407767,155.339805825243,"mirrored import for non-reporter"
2013,450,32,4535,5521.15937664,0,0,1217.45520984344,0,NA
2013,450,156,275,295.59768912,0,0,1074.90068770909,0,NA
2013,450,251,86.4,413.56699632,10256,63625.09200209,4786.65505,6203.69461798849,NA
2013,450,699,0,0,237000,66990.82831728,0,282.661722857721,NA
2013,450,710,8222743.98,2854112.29985376,8246426,2931842.2312568,347.09974028083,355.528835310812,NA
2013,450,764,0,0,25,25,0,1000,NA
2013,450,842,34.6938879250401,31.6860084,0,0,913.302321966943,0,NA
2013,450,854,539.781016671765,492.98325588,0,0,913.302321966943,0,NA
2013,454,508,28837190,6792092.12128965,0,0,235.532384441398,0,NA
